delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.25,66,vol_scaling,0.8,0.928,0.672
0.25,67,standard,0.904,0.904,0.904
0.25,67,saci,0.896,0.912,0.88
0.25,67,vol_scaling,0.852,0.968,0.736
0.25,68,standard,0.868,0.84,0.896
0.25,68,saci,0.864,0.832,0.896
0.25,68,vol_scaling,0.86,0.976,0.744
0.25,69,standard,0.944,0.92,0.968
0.25,69,saci,0.932,0.912,0.952
0.25,69,vol_scaling,0.852,0.968,0.736
0.25,70,standard,0.888,0.896,0.88
0.25,70,saci,0.888,0.912,0.864
0.25,70,vol_scaling,0.812,0.992,0.632
0.25,71,standard,0.892,0.904,0.88
0.25,71,saci,0.888,0.912,0.864
0.25,71,vol_scaling,0.744,0.968,0.52
0.25,72,standard,0.9,0.864,0.936
0.25,72,saci,0.9,0.888,0.912
0.25,72,vol_scaling,0.872,0.992,0.752
0.25,73,standard,0.92,0.904,0.936
0.25,73,saci,0.92,0.904,0.936
0.25,73,vol_scaling,0.82,0.968,0.672
0.25,74,standard,0.908,0.904,0.912
0.25,74,saci,0.872,0.856,0.888
0.25,74,vol_scaling,0.808,0.984,0.632
0.25,75,standard,0.904,0.888,0.92
0.25,75,saci,0.892,0.888,0.896
0.25,75,vol_scaling,0.828,0.976,0.68
0.25,76,standard,0.88,0.864,0.896
0.25,76,saci,0.884,0.904,0.864
0.25,76,vol_scaling,0.828,0.976,0.68
0.25,77,standard,0.924,0.904,0.944
0.25,77,saci,0.924,0.904,0.944
0.25,77,vol_scaling,0.824,0.952,0.696
0.25,78,standard,0.868,0.84,0.896
0.25,78,saci,0.852,0.824,0.88
0.25,78,vol_scaling,0.804,0.96,0.648
0.25,79,standard,0.92,0.896,0.944
0.25,79,saci,0.924,0.904,0.944
0.25,79,vol_scaling,0.828,0.968,0.688
0.25,80,standard,0.888,0.856,0.92
0.25,80,saci,0.892,0.864,0.92
0.25,80,vol_scaling,0.852,0.976,0.728
0.25,81,standard,0.896,0.864,0.928
0.25,81,saci,0.892,0.872,0.912
0.25,81,vol_scaling,0.84,0.984,0.696
0.25,82,standard,0.884,0.856,0.912
0.25,82,saci,0.892,0.872,0.912
0.25,82,vol_scaling,0.832,0.976,0.688
0.25,83,standard,0.888,0.864,0.912
0.25,83,saci,0.872,0.896,0.848
0.25,83,vol_scaling,0.812,0.96,0.664
0.25,84,standard,0.92,0.896,0.944
0.25,84,saci,0.908,0.88,0.936
0.25,84,vol_scaling,0.872,0.984,0.76
0.25,85,standard,0.932,0.872,0.992
0.25,85,saci,0.936,0.88,0.992
0.25,85,vol_scaling,0.912,0.968,0.856
0.25,86,standard,0.88,0.848,0.912
0.25,86,saci,0.88,0.872,0.888
0.25,86,vol_scaling,0.848,1.0,0.696
0.25,87,standard,0.892,0.88,0.904
0.25,87,saci,0.892,0.88,0.904
0.25,87,vol_scaling,0.86,0.976,0.744
0.25,88,standard,0.876,0.84,0.912
0.25,88,saci,0.872,0.832,0.912
0.25,88,vol_scaling,0.832,0.984,0.68
0.25,89,standard,0.916,0.896,0.936
0.25,89,saci,0.912,0.896,0.928
0.25,89,vol_scaling,0.876,0.984,0.768
0.25,90,standard,0.872,0.848,0.896
0.25,90,saci,0.868,0.84,0.896
0.25,90,vol_scaling,0.836,0.984,0.688
0.25,91,standard,0.868,0.864,0.872
0.25,91,saci,0.856,0.848,0.864
0.25,91,vol_scaling,0.8,0.944,0.656
0.25,92,standard,0.892,0.888,0.896
0.25,92,saci,0.892,0.896,0.888
0.25,92,vol_scaling,0.872,1.0,0.744
0.25,93,standard,0.92,0.888,0.952
0.25,93,saci,0.924,0.912,0.936
0.25,93,vol_scaling,0.888,0.992,0.784
0.25,94,standard,0.88,0.84,0.92
0.25,94,saci,0.88,0.824,0.936
0.25,94,vol_scaling,0.828,0.976,0.68
0.25,95,standard,0.868,0.872,0.864
0.25,95,saci,0.856,0.872,0.84
0.25,95,vol_scaling,0.784,0.936,0.632
0.25,96,standard,0.876,0.824,0.928
0.25,96,saci,0.864,0.816,0.912
0.25,96,vol_scaling,0.836,1.0,0.672
0.25,97,standard,0.924,0.92,0.928
0.25,97,saci,0.928,0.928,0.928
0.25,97,vol_scaling,0.848,1.0,0.696
0.25,98,standard,0.964,0.976,0.952
0.25,98,saci,0.936,0.96,0.912
0.25,98,vol_scaling,0.876,1.0,0.752
0.25,99,standard,0.9,0.88,0.92
0.25,99,saci,0.884,0.88,0.888
0.25,99,vol_scaling,0.808,0.968,0.648
0.5,0,standard,0.896,0.856,0.936
0.5,0,saci,0.88,0.88,0.88
0.5,0,vol_scaling,0.868,0.96,0.776
0.5,1,standard,0.9,0.904,0.896
0.5,1,saci,0.892,0.896,0.888
0.5,1,vol_scaling,0.804,0.96,0.648
0.5,2,standard,0.976,0.96,0.992
0.5,2,saci,0.96,0.952,0.968
0.5,2,vol_scaling,0.892,0.992,0.792
0.5,3,standard,0.888,0.856,0.92
0.5,3,saci,0.876,0.872,0.88
0.5,3,vol_scaling,0.816,0.952,0.68
0.5,4,standard,0.912,0.896,0.928
0.5,4,saci,0.912,0.904,0.92
0.5,4,vol_scaling,0.832,0.96,0.704
0.5,5,standard,0.888,0.872,0.904
0.5,5,saci,0.904,0.904,0.904
0.5,5,vol_scaling,0.852,0.992,0.712
0.5,6,standard,0.896,0.888,0.904
0.5,6,saci,0.904,0.904,0.904
0.5,6,vol_scaling,0.86,0.984,0.736
0.5,7,standard,0.94,0.928,0.952
0.5,7,saci,0.916,0.928,0.904
0.5,7,vol_scaling,0.876,0.984,0.768
0.5,8,standard,0.92,0.896,0.944
0.5,8,saci,0.9,0.88,0.92
0.5,8,vol_scaling,0.832,0.968,0.696
0.5,9,standard,0.908,0.872,0.944
0.5,9,saci,0.908,0.888,0.928
0.5,9,vol_scaling,0.884,0.984,0.784
0.5,10,standard,0.896,0.88,0.912
0.5,10,saci,0.88,0.88,0.88
0.5,10,vol_scaling,0.844,0.984,0.704
0.5,11,standard,0.888,0.84,0.936
0.5,11,saci,0.892,0.848,0.936
0.5,11,vol_scaling,0.824,0.936,0.712
0.5,12,standard,0.88,0.872,0.888
0.5,12,saci,0.88,0.904,0.856
0.5,12,vol_scaling,0.836,0.984,0.688
0.5,13,standard,0.904,0.904,0.904
0.5,13,saci,0.88,0.88,0.88
0.5,13,vol_scaling,0.848,0.992,0.704
0.5,14,standard,0.92,0.92,0.92
0.5,14,saci,0.912,0.928,0.896
0.5,14,vol_scaling,0.892,0.992,0.792
0.5,15,standard,0.872,0.824,0.92
0.5,15,saci,0.848,0.832,0.864
0.5,15,vol_scaling,0.828,0.96,0.696
0.5,16,standard,0.868,0.824,0.912
0.5,16,saci,0.872,0.832,0.912
0.5,16,vol_scaling,0.812,0.944,0.68
0.5,17,standard,0.872,0.824,0.92
0.5,17,saci,0.868,0.84,0.896
0.5,17,vol_scaling,0.8,0.912,0.688
0.5,18,standard,0.92,0.856,0.984
0.5,18,saci,0.916,0.856,0.976
0.5,18,vol_scaling,0.86,0.944,0.776
0.5,19,standard,0.916,0.888,0.944
0.5,19,saci,0.892,0.872,0.912
0.5,19,vol_scaling,0.808,0.92,0.696
0.5,20,standard,0.944,0.936,0.952
0.5,20,saci,0.932,0.936,0.928
0.5,20,vol_scaling,0.868,1.0,0.736
0.5,21,standard,0.852,0.824,0.88
0.5,21,saci,0.872,0.872,0.872
0.5,21,vol_scaling,0.828,0.952,0.704
0.5,22,standard,0.876,0.824,0.928
0.5,22,saci,0.876,0.84,0.912
0.5,22,vol_scaling,0.748,0.88,0.616
0.5,23,standard,0.932,0.896,0.968
0.5,23,saci,0.916,0.904,0.928
0.5,23,vol_scaling,0.86,0.976,0.744
0.5,24,standard,0.948,0.936,0.96
0.5,24,saci,0.944,0.944,0.944
0.5,24,vol_scaling,0.908,0.976,0.84
0.5,25,standard,0.964,0.944,0.984
0.5,25,saci,0.952,0.952,0.952
0.5,25,vol_scaling,0.872,0.976,0.768
0.5,26,standard,0.88,0.84,0.92
0.5,26,saci,0.888,0.856,0.92
0.5,26,vol_scaling,0.864,0.96,0.768
0.5,27,standard,0.852,0.816,0.888
0.5,27,saci,0.832,0.832,0.832
0.5,27,vol_scaling,0.824,0.952,0.696
0.5,28,standard,0.9,0.88,0.92
0.5,28,saci,0.904,0.896,0.912
0.5,28,vol_scaling,0.88,0.984,0.776
0.5,29,standard,0.904,0.848,0.96
0.5,29,saci,0.9,0.848,0.952
0.5,29,vol_scaling,0.832,0.96,0.704
0.5,30,standard,0.912,0.864,0.96
0.5,30,saci,0.892,0.888,0.896
0.5,30,vol_scaling,0.864,0.984,0.744
0.5,31,standard,0.916,0.864,0.968
0.5,31,saci,0.916,0.864,0.968
0.5,31,vol_scaling,0.896,1.0,0.792
0.5,32,standard,0.88,0.832,0.928
0.5,32,saci,0.88,0.832,0.928
0.5,32,vol_scaling,0.836,0.928,0.744
0.5,33,standard,0.904,0.888,0.92
0.5,33,saci,0.908,0.896,0.92
0.5,33,vol_scaling,0.868,0.976,0.76
0.5,34,standard,0.872,0.816,0.928
0.5,34,saci,0.868,0.816,0.92
0.5,34,vol_scaling,0.86,0.984,0.736
0.5,35,standard,0.928,0.88,0.976
0.5,35,saci,0.92,0.872,0.968
0.5,35,vol_scaling,0.836,0.928,0.744
0.5,36,standard,0.904,0.896,0.912
0.5,36,saci,0.9,0.896,0.904
0.5,36,vol_scaling,0.86,0.96,0.76
0.5,37,standard,0.92,0.888,0.952
0.5,37,saci,0.892,0.912,0.872
0.5,37,vol_scaling,0.884,0.976,0.792
0.5,38,standard,0.908,0.856,0.96
0.5,38,saci,0.888,0.872,0.904
0.5,38,vol_scaling,0.856,0.952,0.76
0.5,39,standard,0.892,0.864,0.92
0.5,39,saci,0.892,0.864,0.92
0.5,39,vol_scaling,0.86,0.968,0.752
0.5,40,standard,0.956,0.936,0.976
0.5,40,saci,0.94,0.92,0.96
0.5,40,vol_scaling,0.896,0.992,0.8
0.5,41,standard,0.92,0.912,0.928
0.5,41,saci,0.928,0.952,0.904
0.5,41,vol_scaling,0.884,0.992,0.776
0.5,42,standard,0.916,0.888,0.944
0.5,42,saci,0.92,0.904,0.936
0.5,42,vol_scaling,0.884,0.976,0.792
0.5,43,standard,0.932,0.896,0.968
0.5,43,saci,0.92,0.912,0.928
0.5,43,vol_scaling,0.892,0.992,0.792
0.5,44,standard,0.912,0.864,0.96
0.5,44,saci,0.912,0.864,0.96
0.5,44,vol_scaling,0.876,0.992,0.76
0.5,45,standard,0.848,0.84,0.856
0.5,45,saci,0.848,0.848,0.848
0.5,45,vol_scaling,0.812,0.96,0.664
0.5,46,standard,0.904,0.888,0.92
0.5,46,saci,0.904,0.904,0.904
0.5,46,vol_scaling,0.816,0.976,0.656
0.5,47,standard,0.92,0.888,0.952
0.5,47,saci,0.928,0.92,0.936
0.5,47,vol_scaling,0.852,0.976,0.728
0.5,48,standard,0.912,0.896,0.928
0.5,48,saci,0.892,0.896,0.888
0.5,48,vol_scaling,0.828,0.952,0.704
0.5,49,standard,0.88,0.856,0.904
0.5,49,saci,0.888,0.888,0.888
0.5,49,vol_scaling,0.844,0.968,0.72
0.5,50,standard,0.928,0.896,0.96
0.5,50,saci,0.916,0.896,0.936
0.5,50,vol_scaling,0.892,0.984,0.8
0.5,51,standard,0.924,0.88,0.968
0.5,51,saci,0.928,0.888,0.968
0.5,51,vol_scaling,0.804,0.904,0.704
0.5,52,standard,0.948,0.944,0.952
0.5,52,saci,0.928,0.936,0.92
0.5,52,vol_scaling,0.86,0.96,0.76
0.5,53,standard,0.876,0.856,0.896
0.5,53,saci,0.876,0.864,0.888
0.5,53,vol_scaling,0.788,0.952,0.624
0.5,54,standard,0.908,0.896,0.92
0.5,54,saci,0.908,0.904,0.912
0.5,54,vol_scaling,0.836,0.968,0.704
0.5,55,standard,0.908,0.88,0.936
0.5,55,saci,0.9,0.888,0.912
0.5,55,vol_scaling,0.832,0.976,0.688
0.5,56,standard,0.916,0.912,0.92
0.5,56,saci,0.916,0.92,0.912
0.5,56,vol_scaling,0.856,0.96,0.752
0.5,57,standard,0.952,0.912,0.992
0.5,57,saci,0.952,0.928,0.976
0.5,57,vol_scaling,0.868,0.984,0.752
0.5,58,standard,0.932,0.92,0.944
0.5,58,saci,0.92,0.928,0.912
0.5,58,vol_scaling,0.88,0.984,0.776
0.5,59,standard,0.908,0.872,0.944
0.5,59,saci,0.912,0.88,0.944
0.5,59,vol_scaling,0.876,0.984,0.768
0.5,60,standard,0.896,0.864,0.928
0.5,60,saci,0.888,0.88,0.896
0.5,60,vol_scaling,0.848,0.976,0.72
0.5,61,standard,0.836,0.752,0.92
0.5,61,saci,0.86,0.832,0.888
0.5,61,vol_scaling,0.832,0.936,0.728
0.5,62,standard,0.944,0.912,0.976
0.5,62,saci,0.936,0.912,0.96
0.5,62,vol_scaling,0.868,1.0,0.736
0.5,63,standard,0.92,0.904,0.936
0.5,63,saci,0.92,0.904,0.936
0.5,63,vol_scaling,0.824,0.968,0.68
0.5,64,standard,0.94,0.912,0.968
0.5,64,saci,0.94,0.912,0.968
0.5,64,vol_scaling,0.876,0.984,0.768
0.5,65,standard,0.908,0.872,0.944
0.5,65,saci,0.9,0.888,0.912
0.5,65,vol_scaling,0.876,0.984,0.768
0.5,66,standard,0.964,0.944,0.984
0.5,66,saci,0.948,0.952,0.944
0.5,66,vol_scaling,0.94,1.0,0.88
0.5,67,standard,0.824,0.768,0.88
0.5,67,saci,0.816,0.8,0.832
0.5,67,vol_scaling,0.812,0.904,0.72
0.5,68,standard,0.904,0.88,0.928
0.5,68,saci,0.9,0.912,0.888
0.5,68,vol_scaling,0.892,1.0,0.784
0.5,69,standard,0.896,0.888,0.904
0.5,69,saci,0.9,0.896,0.904
0.5,69,vol_scaling,0.828,0.968,0.688
0.5,70,standard,0.904,0.896,0.912
0.5,70,saci,0.896,0.888,0.904
0.5,70,vol_scaling,0.82,0.944,0.696
0.5,71,standard,0.904,0.864,0.944
0.5,71,saci,0.896,0.88,0.912
0.5,71,vol_scaling,0.912,0.968,0.856
0.5,72,standard,0.904,0.872,0.936
0.5,72,saci,0.888,0.872,0.904
0.5,72,vol_scaling,0.884,0.984,0.784
0.5,73,standard,0.928,0.912,0.944
0.5,73,saci,0.916,0.92,0.912
0.5,73,vol_scaling,0.864,0.968,0.76
0.5,74,standard,0.896,0.84,0.952
0.5,74,saci,0.912,0.88,0.944
0.5,74,vol_scaling,0.88,0.968,0.792
0.5,75,standard,0.916,0.896,0.936
0.5,75,saci,0.904,0.896,0.912
0.5,75,vol_scaling,0.876,0.992,0.76
0.5,76,standard,0.936,0.912,0.96
0.5,76,saci,0.928,0.904,0.952
0.5,76,vol_scaling,0.9,0.984,0.816
0.5,77,standard,0.928,0.928,0.928
0.5,77,saci,0.912,0.928,0.896
0.5,77,vol_scaling,0.868,0.984,0.752
0.5,78,standard,0.936,0.88,0.992
0.5,78,saci,0.952,0.912,0.992
0.5,78,vol_scaling,0.904,0.976,0.832
0.5,79,standard,0.9,0.864,0.936
0.5,79,saci,0.896,0.88,0.912
0.5,79,vol_scaling,0.876,0.992,0.76
0.5,80,standard,0.912,0.88,0.944
0.5,80,saci,0.9,0.864,0.936
0.5,80,vol_scaling,0.888,0.984,0.792
0.5,81,standard,0.9,0.888,0.912
0.5,81,saci,0.912,0.912,0.912
0.5,81,vol_scaling,0.88,0.992,0.768
0.5,82,standard,0.868,0.848,0.888
0.5,82,saci,0.864,0.848,0.88
0.5,82,vol_scaling,0.836,0.976,0.696
0.5,83,standard,0.904,0.888,0.92
0.5,83,saci,0.9,0.88,0.92
0.5,83,vol_scaling,0.868,0.992,0.744
0.5,84,standard,0.948,0.928,0.968
0.5,84,saci,0.952,0.944,0.96
0.5,84,vol_scaling,0.892,1.0,0.784
0.5,85,standard,0.904,0.824,0.984
0.5,85,saci,0.904,0.864,0.944
0.5,85,vol_scaling,0.88,0.96,0.8
0.5,86,standard,0.956,0.968,0.944
0.5,86,saci,0.952,0.96,0.944
0.5,86,vol_scaling,0.856,0.984,0.728
0.5,87,standard,0.872,0.824,0.92
0.5,87,saci,0.876,0.832,0.92
0.5,87,vol_scaling,0.828,0.968,0.688
0.5,88,standard,0.884,0.848,0.92
0.5,88,saci,0.888,0.872,0.904
0.5,88,vol_scaling,0.868,0.976,0.76
0.5,89,standard,0.964,0.952,0.976
0.5,89,saci,0.952,0.952,0.952
0.5,89,vol_scaling,0.856,0.976,0.736
0.5,90,standard,0.896,0.864,0.928
0.5,90,saci,0.896,0.864,0.928
0.5,90,vol_scaling,0.8,0.928,0.672
0.5,91,standard,0.9,0.864,0.936
0.5,91,saci,0.896,0.856,0.936
0.5,91,vol_scaling,0.864,0.976,0.752
0.5,92,standard,0.844,0.792,0.896
0.5,92,saci,0.848,0.816,0.88
0.5,92,vol_scaling,0.792,0.944,0.64
0.5,93,standard,0.896,0.856,0.936
0.5,93,saci,0.9,0.872,0.928
0.5,93,vol_scaling,0.872,0.968,0.776
0.5,94,standard,0.872,0.784,0.96
0.5,94,saci,0.88,0.816,0.944
0.5,94,vol_scaling,0.888,0.968,0.808
0.5,95,standard,0.932,0.888,0.976
0.5,95,saci,0.924,0.904,0.944
0.5,95,vol_scaling,0.856,0.968,0.744
0.5,96,standard,0.876,0.816,0.936
0.5,96,saci,0.852,0.832,0.872
0.5,96,vol_scaling,0.836,0.944,0.728
0.5,97,standard,0.924,0.928,0.92
0.5,97,saci,0.924,0.928,0.92
0.5,97,vol_scaling,0.916,1.0,0.832
0.5,98,standard,0.956,0.936,0.976
0.5,98,saci,0.912,0.88,0.944
0.5,98,vol_scaling,0.816,0.928,0.704
0.5,99,standard,0.924,0.928,0.92
0.5,99,saci,0.924,0.928,0.92
0.5,99,vol_scaling,0.828,0.976,0.68
0.75,0,standard,0.944,0.912,0.976
0.75,0,saci,0.944,0.912,0.976
0.75,0,vol_scaling,0.876,0.976,0.776
0.75,1,standard,0.84,0.8,0.88
0.75,1,saci,0.844,0.808,0.88
0.75,1,vol_scaling,0.84,0.96,0.72
0.75,2,standard,0.904,0.88,0.928
0.75,2,saci,0.896,0.912,0.88
0.75,2,vol_scaling,0.772,0.928,0.616
0.75,3,standard,0.944,0.896,0.992
0.75,3,saci,0.92,0.912,0.928
0.75,3,vol_scaling,0.912,0.984,0.84
0.75,4,standard,0.944,0.928,0.96
0.75,4,saci,0.92,0.912,0.928
0.75,4,vol_scaling,0.848,0.976,0.72
0.75,5,standard,0.92,0.904,0.936
0.75,5,saci,0.932,0.928,0.936
0.75,5,vol_scaling,0.908,0.992,0.824
0.75,6,standard,0.884,0.864,0.904
0.75,6,saci,0.88,0.864,0.896
0.75,6,vol_scaling,0.868,0.96,0.776
0.75,7,standard,0.932,0.928,0.936
0.75,7,saci,0.92,0.92,0.92
0.75,7,vol_scaling,0.88,0.992,0.768
0.75,8,standard,0.872,0.792,0.952
0.75,8,saci,0.86,0.84,0.88
0.75,8,vol_scaling,0.832,0.944,0.72
0.75,9,standard,0.924,0.888,0.96
0.75,9,saci,0.932,0.92,0.944
0.75,9,vol_scaling,0.832,0.912,0.752
0.75,10,standard,0.908,0.88,0.936
0.75,10,saci,0.916,0.912,0.92
0.75,10,vol_scaling,0.872,0.984,0.76
0.75,11,standard,0.936,0.92,0.952
0.75,11,saci,0.932,0.92,0.944
0.75,11,vol_scaling,0.852,0.952,0.752
0.75,12,standard,0.86,0.8,0.92
0.75,12,saci,0.86,0.808,0.912
0.75,12,vol_scaling,0.788,0.912,0.664
0.75,13,standard,0.876,0.816,0.936
0.75,13,saci,0.876,0.824,0.928
0.75,13,vol_scaling,0.872,0.928,0.816
0.75,14,standard,0.92,0.872,0.968
0.75,14,saci,0.916,0.88,0.952
0.75,14,vol_scaling,0.876,0.944,0.808
0.75,15,standard,0.9,0.856,0.944
0.75,15,saci,0.9,0.856,0.944
0.75,15,vol_scaling,0.868,0.952,0.784
0.75,16,standard,0.872,0.816,0.928
0.75,16,saci,0.856,0.808,0.904
0.75,16,vol_scaling,0.844,0.936,0.752
0.75,17,standard,0.912,0.856,0.968
0.75,17,saci,0.924,0.888,0.96
0.75,17,vol_scaling,0.88,0.968,0.792
0.75,18,standard,0.908,0.864,0.952
0.75,18,saci,0.892,0.872,0.912
0.75,18,vol_scaling,0.88,0.992,0.768
0.75,19,standard,0.9,0.856,0.944
0.75,19,saci,0.904,0.88,0.928
0.75,19,vol_scaling,0.868,0.984,0.752
0.75,20,standard,0.876,0.856,0.896
0.75,20,saci,0.88,0.864,0.896
0.75,20,vol_scaling,0.88,0.976,0.784
0.75,21,standard,0.92,0.888,0.952
0.75,21,saci,0.936,0.944,0.928
0.75,21,vol_scaling,0.86,0.976,0.744
0.75,22,standard,0.916,0.864,0.968
0.75,22,saci,0.916,0.872,0.96
0.75,22,vol_scaling,0.836,0.968,0.704
0.75,23,standard,0.912,0.84,0.984
0.75,23,saci,0.868,0.864,0.872
0.75,23,vol_scaling,0.872,0.968,0.776
0.75,24,standard,0.892,0.848,0.936
0.75,24,saci,0.884,0.848,0.92
0.75,24,vol_scaling,0.852,0.984,0.72
0.75,25,standard,0.876,0.816,0.936
0.75,25,saci,0.876,0.848,0.904
0.75,25,vol_scaling,0.864,0.984,0.744
0.75,26,standard,0.908,0.856,0.96
0.75,26,saci,0.904,0.864,0.944
0.75,26,vol_scaling,0.868,0.96,0.776
0.75,27,standard,0.896,0.856,0.936
0.75,27,saci,0.912,0.896,0.928
0.75,27,vol_scaling,0.812,0.96,0.664
0.75,28,standard,0.888,0.848,0.928
0.75,28,saci,0.9,0.904,0.896
0.75,28,vol_scaling,0.844,0.976,0.712
0.75,29,standard,0.816,0.752,0.88
0.75,29,saci,0.824,0.768,0.88
0.75,29,vol_scaling,0.844,0.92,0.768
0.75,30,standard,0.9,0.848,0.952
0.75,30,saci,0.892,0.864,0.92
0.75,30,vol_scaling,0.876,0.952,0.8
0.75,31,standard,0.92,0.864,0.976
0.75,31,saci,0.88,0.888,0.872
0.75,31,vol_scaling,0.848,0.96,0.736
0.75,32,standard,0.86,0.76,0.96
0.75,32,saci,0.86,0.776,0.944
0.75,32,vol_scaling,0.872,0.952,0.792
0.75,33,standard,0.852,0.816,0.888
