delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.75,33,saci,0.856,0.84,0.872
0.75,33,vol_scaling,0.848,0.976,0.72
0.75,34,standard,0.92,0.912,0.928
0.75,34,saci,0.916,0.928,0.904
0.75,34,vol_scaling,0.876,0.984,0.768
0.75,35,standard,0.932,0.896,0.968
0.75,35,saci,0.928,0.896,0.96
0.75,35,vol_scaling,0.908,0.968,0.848
0.75,36,standard,0.916,0.864,0.968
0.75,36,saci,0.908,0.872,0.944
0.75,36,vol_scaling,0.876,0.968,0.784
0.75,37,standard,0.872,0.824,0.92
0.75,37,saci,0.884,0.856,0.912
0.75,37,vol_scaling,0.856,0.952,0.76
0.75,38,standard,0.936,0.92,0.952
0.75,38,saci,0.948,0.944,0.952
0.75,38,vol_scaling,0.88,0.984,0.776
0.75,39,standard,0.848,0.824,0.872
0.75,39,saci,0.852,0.88,0.824
0.75,39,vol_scaling,0.812,0.984,0.64
0.75,40,standard,0.9,0.88,0.92
0.75,40,saci,0.896,0.88,0.912
0.75,40,vol_scaling,0.84,0.968,0.712
0.75,41,standard,0.888,0.832,0.944
0.75,41,saci,0.916,0.904,0.928
0.75,41,vol_scaling,0.888,0.984,0.792
0.75,42,standard,0.912,0.864,0.96
0.75,42,saci,0.908,0.904,0.912
0.75,42,vol_scaling,0.888,0.992,0.784
0.75,43,standard,0.864,0.816,0.912
0.75,43,saci,0.844,0.8,0.888
0.75,43,vol_scaling,0.884,0.984,0.784
0.75,44,standard,0.872,0.84,0.904
0.75,44,saci,0.868,0.872,0.864
0.75,44,vol_scaling,0.836,0.984,0.688
0.75,45,standard,0.94,0.912,0.968
0.75,45,saci,0.9,0.904,0.896
0.75,45,vol_scaling,0.864,0.976,0.752
0.75,46,standard,0.932,0.904,0.96
0.75,46,saci,0.924,0.904,0.944
0.75,46,vol_scaling,0.828,0.936,0.72
0.75,47,standard,0.92,0.872,0.968
0.75,47,saci,0.928,0.888,0.968
0.75,47,vol_scaling,0.904,0.992,0.816
0.75,48,standard,0.944,0.944,0.944
0.75,48,saci,0.92,0.96,0.88
0.75,48,vol_scaling,0.872,0.984,0.76
0.75,49,standard,0.86,0.808,0.912
0.75,49,saci,0.844,0.84,0.848
0.75,49,vol_scaling,0.844,0.96,0.728
0.75,50,standard,0.9,0.88,0.92
0.75,50,saci,0.896,0.88,0.912
0.75,50,vol_scaling,0.892,1.0,0.784
0.75,51,standard,0.892,0.84,0.944
0.75,51,saci,0.912,0.904,0.92
0.75,51,vol_scaling,0.86,0.96,0.76
0.75,52,standard,0.9,0.864,0.936
0.75,52,saci,0.896,0.864,0.928
0.75,52,vol_scaling,0.856,0.952,0.76
0.75,53,standard,0.908,0.864,0.952
0.75,53,saci,0.904,0.888,0.92
0.75,53,vol_scaling,0.872,0.992,0.752
0.75,54,standard,0.872,0.808,0.936
0.75,54,saci,0.868,0.808,0.928
0.75,54,vol_scaling,0.82,0.936,0.704
0.75,55,standard,0.924,0.896,0.952
0.75,55,saci,0.92,0.912,0.928
0.75,55,vol_scaling,0.892,0.976,0.808
0.75,56,standard,0.892,0.84,0.944
0.75,56,saci,0.892,0.856,0.928
0.75,56,vol_scaling,0.872,0.976,0.768
0.75,57,standard,0.884,0.816,0.952
0.75,57,saci,0.868,0.832,0.904
0.75,57,vol_scaling,0.88,0.984,0.776
0.75,58,standard,0.908,0.864,0.952
0.75,58,saci,0.904,0.88,0.928
0.75,58,vol_scaling,0.824,0.96,0.688
0.75,59,standard,0.872,0.832,0.912
0.75,59,saci,0.86,0.84,0.88
0.75,59,vol_scaling,0.832,0.944,0.72
0.75,60,standard,0.892,0.84,0.944
0.75,60,saci,0.888,0.84,0.936
0.75,60,vol_scaling,0.828,0.904,0.752
0.75,61,standard,0.92,0.896,0.944
0.75,61,saci,0.912,0.928,0.896
0.75,61,vol_scaling,0.856,0.96,0.752
0.75,62,standard,0.868,0.784,0.952
0.75,62,saci,0.844,0.8,0.888
0.75,62,vol_scaling,0.84,0.952,0.728
0.75,63,standard,0.908,0.84,0.976
0.75,63,saci,0.928,0.896,0.96
0.75,63,vol_scaling,0.908,0.992,0.824
0.75,64,standard,0.916,0.888,0.944
0.75,64,saci,0.88,0.904,0.856
0.75,64,vol_scaling,0.88,0.976,0.784
0.75,65,standard,0.892,0.84,0.944
0.75,65,saci,0.896,0.856,0.936
0.75,65,vol_scaling,0.848,0.92,0.776
0.75,66,standard,0.892,0.832,0.952
0.75,66,saci,0.892,0.832,0.952
0.75,66,vol_scaling,0.828,0.952,0.704
0.75,67,standard,0.924,0.904,0.944
0.75,67,saci,0.924,0.912,0.936
0.75,67,vol_scaling,0.876,0.976,0.776
0.75,68,standard,0.844,0.792,0.896
0.75,68,saci,0.844,0.808,0.88
0.75,68,vol_scaling,0.844,0.936,0.752
0.75,69,standard,0.864,0.88,0.848
0.75,69,saci,0.856,0.896,0.816
0.75,69,vol_scaling,0.78,0.984,0.576
0.75,70,standard,0.924,0.896,0.952
0.75,70,saci,0.94,0.936,0.944
0.75,70,vol_scaling,0.892,0.96,0.824
0.75,71,standard,0.92,0.88,0.96
0.75,71,saci,0.924,0.896,0.952
0.75,71,vol_scaling,0.856,0.984,0.728
0.75,72,standard,0.888,0.856,0.92
0.75,72,saci,0.888,0.856,0.92
0.75,72,vol_scaling,0.824,0.976,0.672
0.75,73,standard,0.892,0.824,0.96
0.75,73,saci,0.892,0.832,0.952
0.75,73,vol_scaling,0.888,0.968,0.808
0.75,74,standard,0.916,0.888,0.944
0.75,74,saci,0.864,0.888,0.84
0.75,74,vol_scaling,0.832,0.96,0.704
0.75,75,standard,0.88,0.824,0.936
0.75,75,saci,0.876,0.832,0.92
0.75,75,vol_scaling,0.9,0.992,0.808
0.75,76,standard,0.876,0.808,0.944
0.75,76,saci,0.848,0.792,0.904
0.75,76,vol_scaling,0.848,0.944,0.752
0.75,77,standard,0.956,0.944,0.968
0.75,77,saci,0.944,0.952,0.936
0.75,77,vol_scaling,0.916,1.0,0.832
0.75,78,standard,0.872,0.8,0.944
0.75,78,saci,0.876,0.856,0.896
0.75,78,vol_scaling,0.856,0.936,0.776
0.75,79,standard,0.916,0.872,0.96
0.75,79,saci,0.924,0.896,0.952
0.75,79,vol_scaling,0.92,0.976,0.864
0.75,80,standard,0.88,0.84,0.92
0.75,80,saci,0.868,0.832,0.904
0.75,80,vol_scaling,0.82,0.944,0.696
0.75,81,standard,0.912,0.856,0.968
0.75,81,saci,0.916,0.88,0.952
0.75,81,vol_scaling,0.916,1.0,0.832
0.75,82,standard,0.88,0.872,0.888
0.75,82,saci,0.888,0.888,0.888
0.75,82,vol_scaling,0.876,0.976,0.776
0.75,83,standard,0.92,0.864,0.976
0.75,83,saci,0.92,0.928,0.912
0.75,83,vol_scaling,0.876,0.96,0.792
0.75,84,standard,0.892,0.848,0.936
0.75,84,saci,0.892,0.872,0.912
0.75,84,vol_scaling,0.836,0.944,0.728
0.75,85,standard,0.924,0.912,0.936
0.75,85,saci,0.92,0.92,0.92
0.75,85,vol_scaling,0.828,0.952,0.704
0.75,86,standard,0.908,0.864,0.952
0.75,86,saci,0.904,0.864,0.944
0.75,86,vol_scaling,0.884,0.968,0.8
0.75,87,standard,0.928,0.896,0.96
0.75,87,saci,0.928,0.912,0.944
0.75,87,vol_scaling,0.884,0.968,0.8
0.75,88,standard,0.884,0.856,0.912
0.75,88,saci,0.884,0.864,0.904
0.75,88,vol_scaling,0.816,0.968,0.664
0.75,89,standard,0.884,0.824,0.944
0.75,89,saci,0.884,0.88,0.888
0.75,89,vol_scaling,0.892,0.952,0.832
0.75,90,standard,0.948,0.928,0.968
0.75,90,saci,0.912,0.912,0.912
0.75,90,vol_scaling,0.848,0.952,0.744
0.75,91,standard,0.876,0.832,0.92
0.75,91,saci,0.848,0.84,0.856
0.75,91,vol_scaling,0.756,0.912,0.6
0.75,92,standard,0.884,0.84,0.928
0.75,92,saci,0.88,0.856,0.904
0.75,92,vol_scaling,0.864,0.952,0.776
0.75,93,standard,0.936,0.896,0.976
0.75,93,saci,0.932,0.904,0.96
0.75,93,vol_scaling,0.88,0.968,0.792
0.75,94,standard,0.924,0.888,0.96
0.75,94,saci,0.94,0.928,0.952
0.75,94,vol_scaling,0.912,0.984,0.84
0.75,95,standard,0.912,0.888,0.936
0.75,95,saci,0.916,0.904,0.928
0.75,95,vol_scaling,0.868,0.944,0.792
0.75,96,standard,0.88,0.856,0.904
0.75,96,saci,0.904,0.904,0.904
0.75,96,vol_scaling,0.848,0.992,0.704
0.75,97,standard,0.86,0.792,0.928
0.75,97,saci,0.852,0.792,0.912
0.75,97,vol_scaling,0.8,0.92,0.68
0.75,98,standard,0.884,0.84,0.928
0.75,98,saci,0.88,0.84,0.92
0.75,98,vol_scaling,0.784,0.912,0.656
0.75,99,standard,0.884,0.832,0.936
0.75,99,saci,0.88,0.84,0.92
0.75,99,vol_scaling,0.796,0.896,0.696
1.0,0,standard,0.916,0.888,0.944
1.0,0,saci,0.9,0.904,0.896
1.0,0,vol_scaling,0.884,0.968,0.8
1.0,1,standard,0.904,0.848,0.96
1.0,1,saci,0.904,0.856,0.952
1.0,1,vol_scaling,0.84,0.936,0.744
1.0,2,standard,0.82,0.728,0.912
1.0,2,saci,0.824,0.752,0.896
1.0,2,vol_scaling,0.852,0.928,0.776
1.0,3,standard,0.852,0.784,0.92
1.0,3,saci,0.852,0.792,0.912
1.0,3,vol_scaling,0.812,0.896,0.728
1.0,4,standard,0.88,0.84,0.92
1.0,4,saci,0.896,0.872,0.92
1.0,4,vol_scaling,0.872,0.952,0.792
1.0,5,standard,0.896,0.856,0.936
1.0,5,saci,0.872,0.864,0.88
1.0,5,vol_scaling,0.848,0.928,0.768
1.0,6,standard,0.884,0.816,0.952
1.0,6,saci,0.872,0.832,0.912
1.0,6,vol_scaling,0.892,0.96,0.824
1.0,7,standard,0.856,0.776,0.936
1.0,7,saci,0.852,0.792,0.912
1.0,7,vol_scaling,0.824,0.904,0.744
1.0,8,standard,0.868,0.808,0.928
1.0,8,saci,0.86,0.824,0.896
1.0,8,vol_scaling,0.836,0.928,0.744
1.0,9,standard,0.844,0.768,0.92
1.0,9,saci,0.86,0.816,0.904
1.0,9,vol_scaling,0.844,0.912,0.776
1.0,10,standard,0.844,0.784,0.904
1.0,10,saci,0.856,0.816,0.896
1.0,10,vol_scaling,0.872,0.944,0.8
1.0,11,standard,0.92,0.872,0.968
1.0,11,saci,0.932,0.92,0.944
1.0,11,vol_scaling,0.908,0.992,0.824
1.0,12,standard,0.884,0.816,0.952
1.0,12,saci,0.876,0.816,0.936
1.0,12,vol_scaling,0.812,0.928,0.696
1.0,13,standard,0.948,0.92,0.976
1.0,13,saci,0.936,0.92,0.952
1.0,13,vol_scaling,0.912,0.992,0.832
1.0,14,standard,0.92,0.864,0.976
1.0,14,saci,0.924,0.888,0.96
1.0,14,vol_scaling,0.872,0.952,0.792
1.0,15,standard,0.932,0.896,0.968
1.0,15,saci,0.932,0.912,0.952
1.0,15,vol_scaling,0.944,0.992,0.896
1.0,16,standard,0.928,0.92,0.936
1.0,16,saci,0.928,0.928,0.928
1.0,16,vol_scaling,0.828,0.952,0.704
1.0,17,standard,0.896,0.864,0.928
1.0,17,saci,0.908,0.88,0.936
1.0,17,vol_scaling,0.868,0.944,0.792
1.0,18,standard,0.896,0.816,0.976
1.0,18,saci,0.904,0.864,0.944
1.0,18,vol_scaling,0.92,0.968,0.872
1.0,19,standard,0.96,0.928,0.992
1.0,19,saci,0.952,0.944,0.96
1.0,19,vol_scaling,0.928,0.976,0.88
1.0,20,standard,0.912,0.856,0.968
1.0,20,saci,0.908,0.88,0.936
1.0,20,vol_scaling,0.852,0.928,0.776
1.0,21,standard,0.836,0.752,0.92
1.0,21,saci,0.844,0.768,0.92
1.0,21,vol_scaling,0.804,0.88,0.728
1.0,22,standard,0.908,0.848,0.968
1.0,22,saci,0.896,0.856,0.936
1.0,22,vol_scaling,0.876,0.936,0.816
1.0,23,standard,0.888,0.824,0.952
1.0,23,saci,0.88,0.856,0.904
1.0,23,vol_scaling,0.852,0.952,0.752
1.0,24,standard,0.868,0.792,0.944
1.0,24,saci,0.888,0.864,0.912
1.0,24,vol_scaling,0.852,0.936,0.768
1.0,25,standard,0.888,0.824,0.952
1.0,25,saci,0.88,0.864,0.896
1.0,25,vol_scaling,0.856,0.952,0.76
1.0,26,standard,0.956,0.928,0.984
1.0,26,saci,0.948,0.936,0.96
1.0,26,vol_scaling,0.912,0.984,0.84
1.0,27,standard,0.948,0.928,0.968
1.0,27,saci,0.94,0.952,0.928
1.0,27,vol_scaling,0.896,0.976,0.816
1.0,28,standard,0.912,0.872,0.952
1.0,28,saci,0.916,0.88,0.952
1.0,28,vol_scaling,0.868,0.952,0.784
1.0,29,standard,0.948,0.912,0.984
1.0,29,saci,0.944,0.92,0.968
1.0,29,vol_scaling,0.908,0.968,0.848
1.0,30,standard,0.952,0.912,0.992
1.0,30,saci,0.936,0.912,0.96
1.0,30,vol_scaling,0.904,0.968,0.84
1.0,31,standard,0.864,0.808,0.92
1.0,31,saci,0.888,0.864,0.912
1.0,31,vol_scaling,0.88,0.944,0.816
1.0,32,standard,0.884,0.84,0.928
1.0,32,saci,0.864,0.84,0.888
1.0,32,vol_scaling,0.844,0.944,0.744
1.0,33,standard,0.86,0.768,0.952
1.0,33,saci,0.844,0.768,0.92
1.0,33,vol_scaling,0.74,0.88,0.6
1.0,34,standard,0.936,0.912,0.96
1.0,34,saci,0.9,0.896,0.904
1.0,34,vol_scaling,0.896,0.976,0.816
1.0,35,standard,0.932,0.88,0.984
1.0,35,saci,0.936,0.904,0.968
1.0,35,vol_scaling,0.928,0.968,0.888
1.0,36,standard,0.9,0.84,0.96
1.0,36,saci,0.908,0.864,0.952
1.0,36,vol_scaling,0.86,0.952,0.768
1.0,37,standard,0.844,0.792,0.896
1.0,37,saci,0.836,0.8,0.872
1.0,37,vol_scaling,0.76,0.904,0.616
1.0,38,standard,0.856,0.808,0.904
1.0,38,saci,0.848,0.84,0.856
1.0,38,vol_scaling,0.8,0.92,0.68
1.0,39,standard,0.884,0.84,0.928
1.0,39,saci,0.88,0.856,0.904
1.0,39,vol_scaling,0.88,0.952,0.808
1.0,40,standard,0.852,0.792,0.912
1.0,40,saci,0.868,0.856,0.88
1.0,40,vol_scaling,0.844,0.936,0.752
1.0,41,standard,0.9,0.84,0.96
1.0,41,saci,0.9,0.856,0.944
1.0,41,vol_scaling,0.816,0.904,0.728
1.0,42,standard,0.896,0.864,0.928
1.0,42,saci,0.872,0.872,0.872
1.0,42,vol_scaling,0.848,0.936,0.76
1.0,43,standard,0.912,0.896,0.928
1.0,43,saci,0.916,0.92,0.912
1.0,43,vol_scaling,0.868,0.96,0.776
1.0,44,standard,0.956,0.928,0.984
1.0,44,saci,0.936,0.92,0.952
1.0,44,vol_scaling,0.892,0.984,0.8
1.0,45,standard,0.912,0.888,0.936
1.0,45,saci,0.904,0.888,0.92
1.0,45,vol_scaling,0.884,0.968,0.8
1.0,46,standard,0.904,0.856,0.952
1.0,46,saci,0.896,0.864,0.928
1.0,46,vol_scaling,0.888,0.968,0.808
1.0,47,standard,0.9,0.84,0.96
1.0,47,saci,0.912,0.864,0.96
1.0,47,vol_scaling,0.904,0.976,0.832
1.0,48,standard,0.944,0.896,0.992
1.0,48,saci,0.948,0.96,0.936
1.0,48,vol_scaling,0.944,1.0,0.888
1.0,49,standard,0.892,0.84,0.944
1.0,49,saci,0.888,0.84,0.936
1.0,49,vol_scaling,0.872,0.944,0.8
1.0,50,standard,0.936,0.896,0.976
1.0,50,saci,0.916,0.896,0.936
1.0,50,vol_scaling,0.864,0.968,0.76
1.0,51,standard,0.944,0.912,0.976
1.0,51,saci,0.94,0.928,0.952
1.0,51,vol_scaling,0.888,0.968,0.808
1.0,52,standard,0.912,0.864,0.96
1.0,52,saci,0.904,0.888,0.92
1.0,52,vol_scaling,0.904,0.984,0.824
1.0,53,standard,0.84,0.792,0.888
1.0,53,saci,0.82,0.832,0.808
1.0,53,vol_scaling,0.824,0.944,0.704
1.0,54,standard,0.88,0.816,0.944
1.0,54,saci,0.852,0.808,0.896
1.0,54,vol_scaling,0.872,0.928,0.816
1.0,55,standard,0.964,0.944,0.984
1.0,55,saci,0.944,0.928,0.96
1.0,55,vol_scaling,0.916,0.992,0.84
1.0,56,standard,0.876,0.808,0.944
1.0,56,saci,0.876,0.856,0.896
1.0,56,vol_scaling,0.844,0.92,0.768
1.0,57,standard,0.96,0.936,0.984
1.0,57,saci,0.94,0.928,0.952
1.0,57,vol_scaling,0.892,0.968,0.816
1.0,58,standard,0.956,0.944,0.968
1.0,58,saci,0.908,0.904,0.912
1.0,58,vol_scaling,0.904,0.968,0.84
1.0,59,standard,0.908,0.848,0.968
1.0,59,saci,0.904,0.864,0.944
1.0,59,vol_scaling,0.892,0.968,0.816
1.0,60,standard,0.928,0.88,0.976
1.0,60,saci,0.916,0.904,0.928
1.0,60,vol_scaling,0.9,0.952,0.848
1.0,61,standard,0.832,0.768,0.896
1.0,61,saci,0.828,0.768,0.888
1.0,61,vol_scaling,0.752,0.84,0.664
1.0,62,standard,0.896,0.864,0.928
1.0,62,saci,0.9,0.872,0.928
1.0,62,vol_scaling,0.86,0.952,0.768
1.0,63,standard,0.908,0.848,0.968
1.0,63,saci,0.876,0.864,0.888
1.0,63,vol_scaling,0.872,0.952,0.792
1.0,64,standard,0.92,0.864,0.976
1.0,64,saci,0.908,0.872,0.944
1.0,64,vol_scaling,0.848,0.952,0.744
1.0,65,standard,0.94,0.92,0.96
1.0,65,saci,0.92,0.944,0.896
1.0,65,vol_scaling,0.928,1.0,0.856
1.0,66,standard,0.876,0.832,0.92
1.0,66,saci,0.904,0.888,0.92
1.0,66,vol_scaling,0.876,0.96,0.792
1.0,67,standard,0.932,0.872,0.992
1.0,67,saci,0.944,0.904,0.984
1.0,67,vol_scaling,0.928,0.968,0.888
1.0,68,standard,0.88,0.824,0.936
1.0,68,saci,0.876,0.832,0.92
1.0,68,vol_scaling,0.872,0.976,0.768
1.0,69,standard,0.896,0.856,0.936
1.0,69,saci,0.884,0.888,0.88
1.0,69,vol_scaling,0.832,0.976,0.688
1.0,70,standard,0.916,0.88,0.952
1.0,70,saci,0.9,0.88,0.92
1.0,70,vol_scaling,0.904,0.968,0.84
1.0,71,standard,0.896,0.832,0.96
1.0,71,saci,0.916,0.872,0.96
1.0,71,vol_scaling,0.864,0.936,0.792
1.0,72,standard,0.808,0.76,0.856
1.0,72,saci,0.812,0.784,0.84
1.0,72,vol_scaling,0.828,0.944,0.712
1.0,73,standard,0.908,0.864,0.952
1.0,73,saci,0.9,0.872,0.928
1.0,73,vol_scaling,0.84,0.936,0.744
1.0,74,standard,0.912,0.856,0.968
1.0,74,saci,0.912,0.872,0.952
1.0,74,vol_scaling,0.824,0.912,0.736
1.0,75,standard,0.928,0.88,0.976
1.0,75,saci,0.92,0.88,0.96
1.0,75,vol_scaling,0.844,0.904,0.784
1.0,76,standard,0.932,0.912,0.952
1.0,76,saci,0.916,0.92,0.912
1.0,76,vol_scaling,0.868,0.976,0.76
1.0,77,standard,0.9,0.864,0.936
1.0,77,saci,0.888,0.88,0.896
1.0,77,vol_scaling,0.868,0.976,0.76
1.0,78,standard,0.932,0.888,0.976
1.0,78,saci,0.924,0.888,0.96
1.0,78,vol_scaling,0.88,0.944,0.816
1.0,79,standard,0.908,0.864,0.952
1.0,79,saci,0.9,0.896,0.904
1.0,79,vol_scaling,0.88,0.984,0.776
1.0,80,standard,0.916,0.856,0.976
1.0,80,saci,0.908,0.88,0.936
1.0,80,vol_scaling,0.916,0.96,0.872
1.0,81,standard,0.944,0.888,1.0
1.0,81,saci,0.928,0.896,0.96
1.0,81,vol_scaling,0.94,0.984,0.896
1.0,82,standard,0.872,0.808,0.936
1.0,82,saci,0.872,0.816,0.928
1.0,82,vol_scaling,0.78,0.912,0.648
1.0,83,standard,0.88,0.848,0.912
1.0,83,saci,0.868,0.856,0.88
1.0,83,vol_scaling,0.816,0.936,0.696
1.0,84,standard,0.856,0.76,0.952
1.0,84,saci,0.88,0.824,0.936
1.0,84,vol_scaling,0.84,0.904,0.776
1.0,85,standard,0.956,0.928,0.984
1.0,85,saci,0.948,0.92,0.976
1.0,85,vol_scaling,0.932,0.968,0.896
1.0,86,standard,0.828,0.792,0.864
1.0,86,saci,0.824,0.824,0.824
1.0,86,vol_scaling,0.772,0.92,0.624
1.0,87,standard,0.928,0.88,0.976
1.0,87,saci,0.94,0.92,0.96
1.0,87,vol_scaling,0.948,1.0,0.896
1.0,88,standard,0.928,0.888,0.968
1.0,88,saci,0.904,0.92,0.888
1.0,88,vol_scaling,0.876,0.992,0.76
1.0,89,standard,0.924,0.872,0.976
1.0,89,saci,0.924,0.896,0.952
1.0,89,vol_scaling,0.884,0.984,0.784
1.0,90,standard,0.928,0.92,0.936
1.0,90,saci,0.92,0.92,0.92
1.0,90,vol_scaling,0.82,0.928,0.712
1.0,91,standard,0.876,0.816,0.936
1.0,91,saci,0.896,0.864,0.928
1.0,91,vol_scaling,0.884,0.92,0.848
1.0,92,standard,0.944,0.896,0.992
1.0,92,saci,0.924,0.912,0.936
1.0,92,vol_scaling,0.876,0.968,0.784
1.0,93,standard,0.908,0.872,0.944
1.0,93,saci,0.892,0.872,0.912
1.0,93,vol_scaling,0.848,0.984,0.712
1.0,94,standard,0.884,0.848,0.92
1.0,94,saci,0.888,0.856,0.92
1.0,94,vol_scaling,0.884,0.976,0.792
1.0,95,standard,0.884,0.8,0.968
1.0,95,saci,0.888,0.824,0.952
1.0,95,vol_scaling,0.848,0.96,0.736
1.0,96,standard,0.96,0.928,0.992
1.0,96,saci,0.936,0.904,0.968
1.0,96,vol_scaling,0.92,0.968,0.872
1.0,97,standard,0.888,0.808,0.968
1.0,97,saci,0.876,0.824,0.928
1.0,97,vol_scaling,0.888,0.944,0.832
1.0,98,standard,0.916,0.856,0.976
1.0,98,saci,0.924,0.88,0.968
1.0,98,vol_scaling,0.888,0.968,0.808
1.0,99,standard,0.884,0.8,0.968
1.0,99,saci,0.852,0.784,0.92
1.0,99,vol_scaling,0.824,0.88,0.768
